SKU,COST,CURRENCY,CREATED_DATE
0048544883802,361.05,USD,11/10/2023 9:20:03 PM
0048544884304,178.02,USD,11/10/2023 9:20:05 PM
0048544884731,181.83,USD,11/10/2023 9:20:04 PM
0048544885615,421.04,USD,11/10/2023 9:20:04 PM
0048544886117,167.59,USD,11/10/2023 9:20:06 PM
0048544886247,171.92,USD,11/10/2023 9:20:06 PM
0048544886254,187.82,USD,11/10/2023 9:20:05 PM
00711745603059,153.96,USD,11/10/2023 9:20:06 PM
00729199000089,166.53,USD,11/10/2023 9:20:09 PM
00729199000096,86.46,USD,11/10/2023 9:20:07 PM
00729199000126,850.03,USD,11/10/2023 9:20:08 PM
00729199573316,57.58,USD,11/10/2023 9:20:06 PM
00729199573507,38.629999999999995,USD,11/10/2023 9:20:06 PM
00729199573835,44.95,USD,11/10/2023 9:20:08 PM
00729199573859,44.760000000000005,USD,11/10/2023 9:20:08 PM
00729199575501,24.259999999999998,USD,11/10/2023 9:20:07 PM
00729199575525,32.629999999999995,USD,11/10/2023 9:20:08 PM
00729199575778,227.4,USD,11/10/2023 9:20:07 PM
00729199608292,1017.09,USD,11/10/2023 9:20:08 PM
00729199608599,204.45,USD,11/10/2023 9:20:08 PM
00729199608605,887.6,USD,11/10/2023 9:20:09 PM
00729199608612,134.9,USD,11/10/2023 9:20:08 PM
00729199730009,688.39,USD,11/10/2023 9:20:09 PM
00729199883316,368.53,USD,11/10/2023 9:20:08 PM
00729199883507,26.58,USD,11/10/2023 9:20:08 PM
00729199883521,905.4,USD,11/10/2023 9:20:08 PM
00729199883835,987.59,USD,11/10/2023 9:20:09 PM
00810097471634,313.96,USD,11/10/2023 9:20:08 PM
00810097472754,213.96,USD,11/10/2023 9:20:08 PM
00810097473058,813.96,USD,11/10/2023 9:20:09 PM
00810097473270,163.96,USD,11/10/2023 9:20:09 PM
00810361031762,27.92,USD,11/10/2023 9:20:09 PM
00810361031786,220.13,USD,11/10/2023 9:20:09 PM
00815293001364,425.0,USD,11/10/2023 9:20:08 PM
00815293001463,518.56,USD,11/10/2023 9:20:09 PM
00815293001470,342.83,USD,11/10/2023 9:20:07 PM
00815293001487,195.39,USD,11/10/2023 9:20:08 PM
00815293001517,55.56,USD,11/10/2023 9:20:08 PM
00815293001685,518.56,USD,11/10/2023 9:20:08 PM
00815293001715,156.09,USD,11/10/2023 9:20:08 PM
00815293001876,500.88,USD,11/10/2023 9:20:08 PM
00815293001975,1412.85,USD,11/10/2023 9:20:08 PM
00815293001982,464.84,USD,11/10/2023 9:20:08 PM
00815293002033,346.52,USD,11/10/2023 9:20:08 PM
00815293002057,1021.82,USD,11/10/2023 9:20:09 PM
00815293002064,407.72,USD,11/10/2023 9:20:09 PM
00815293002101,147.99,USD,11/10/2023 9:20:08 PM
00815293002118,407.04,USD,11/10/2023 9:20:08 PM
00815293002132,392.76,USD,11/10/2023 9:20:09 PM
00815293002149,392.76,USD,11/10/2023 9:20:10 PM
00815293002187,4119.5,USD,11/10/2023 9:20:09 PM
00815293002194,518.56,USD,11/10/2023 9:20:08 PM
00815293002200,743.45,USD,11/10/2023 9:20:08 PM
00815293002217,407.72,USD,11/10/2023 9:20:09 PM
00815293002422,1154.05,USD,11/10/2023 9:20:10 PM
00815293002439,174.88,USD,11/10/2023 9:20:09 PM
00815293002491,419.96,USD,11/10/2023 9:20:10 PM
00815293002569,419.96,USD,11/10/2023 9:20:09 PM
00815293003351,59.65,USD,11/10/2023 9:20:09 PM
00815293003443,266.0,USD,11/10/2023 9:20:08 PM
00815293003580,49.13,USD,11/10/2023 9:20:10 PM
00887753525246,300.34,USD,11/10/2023 9:20:08 PM
00887753525253,440.02,USD,11/10/2023 9:20:10 PM
00887753525260,300.34,USD,11/10/2023 9:20:08 PM
00887753525277,440.02,USD,11/10/2023 9:20:09 PM
00887753525307,533.14,USD,11/10/2023 9:20:08 PM
00887753525321,540.9,USD,11/10/2023 9:20:08 PM
00887753525338,494.34,USD,11/10/2023 9:20:09 PM
00887753525345,533.14,USD,11/10/2023 9:20:09 PM
00887753525352,533.14,USD,11/10/2023 9:20:09 PM
00887753525369,533.14,USD,11/10/2023 9:20:09 PM
00887753525383,354.66,USD,11/10/2023 9:20:10 PM
00887753525529,680.58,USD,11/10/2023 9:20:09 PM
00887753525734,455.54,USD,11/10/2023 9:20:10 PM
00887753525789,649.54,USD,11/10/2023 9:20:09 PM
00887753525796,455.54,USD,11/10/2023 9:20:08 PM
00887753525857,649.54,USD,11/10/2023 9:20:10 PM
00887753525901,828.02,USD,11/10/2023 9:20:09 PM
00887753526014,680.58,USD,11/10/2023 9:20:10 PM
00887753526045,680.58,USD,11/10/2023 9:20:10 PM
00887753526229,222.74,USD,11/10/2023 9:20:11 PM
00887753526243,416.74,USD,11/10/2023 9:20:09 PM
00887753526267,323.62,USD,11/10/2023 9:20:10 PM
00887753526274,416.74,USD,11/10/2023 9:20:10 PM
00887753526298,416.74,USD,11/10/2023 9:20:09 PM
00887753526304,556.42,USD,11/10/2023 9:20:10 PM
00887753526311,292.58,USD,11/10/2023 9:20:09 PM
00887753526328,292.58,USD,11/10/2023 9:20:10 PM
00887753526335,377.94,USD,11/10/2023 9:20:10 PM
00887753526380,385.7,USD,11/10/2023 9:20:10 PM
00887753526410,657.3,USD,11/10/2023 9:20:10 PM
00887753526502,571.94,USD,11/10/2023 9:20:10 PM
00887753526519,323.62,USD,11/10/2023 9:20:09 PM
00887753526533,571.94,USD,11/10/2023 9:20:10 PM
00887753526595,393.46,USD,11/10/2023 9:20:09 PM
00887753526687,339.14,USD,11/10/2023 9:20:11 PM
00887753526717,525.38,USD,11/10/2023 9:20:09 PM
00887753526724,571.94,USD,11/10/2023 9:20:10 PM
00887753526731,571.94,USD,11/10/2023 9:20:10 PM
00887753526748,346.9,USD,11/10/2023 9:20:09 PM
00887753526755,509.86,USD,11/10/2023 9:20:10 PM
00887753526762,346.9,USD,11/10/2023 9:20:10 PM
00887753526779,509.86,USD,11/10/2023 9:20:09 PM
00887753526809,377.94,USD,11/10/2023 9:20:10 PM
00887753526885,401.22,USD,11/10/2023 9:20:10 PM
00887753526946,432.26,USD,11/10/2023 9:20:10 PM
00887753526977,432.26,USD,11/10/2023 9:20:10 PM
00887753527042,300.34,USD,11/10/2023 9:20:10 PM
00887753527059,401.22,USD,11/10/2023 9:20:10 PM
00887753527066,401.22,USD,11/10/2023 9:20:10 PM
00887753527073,401.22,USD,11/10/2023 9:20:11 PM
